"ictKey","Translated ictMarketTemplateName","Translated ictSelectionTemplateName"
"","",""
"americanfootball|two-participant-event|match-winner|H","Pobjednik (Uključujući produžetke)","1"
"americanfootball|two-participant-event|match-winner|A","Pobjednik (Uključujući produžetke)","2"
"americanfootball|two-participant-event|total-points-over-under|O","Ukupno poena (Manje/više od ${line})","Više od ${line}"
"americanfootball|two-participant-event|total-points-over-under|U","Ukupno poena (Manje/više od ${line})","Manje od ${line}"
"americanfootball|two-participant-event|team-points-home|H-O","Domaćin ukupno poena (Manje/više od ${line})","Više od ${line}"
"americanfootball|two-participant-event|team-points-home|H-U","Domaćin ukupno poena (Manje/više od ${line})","Manje od ${line}"
"americanfootball|two-participant-event|team-points-away|A-O","Gost ukupno poena (Manje/više od ${line})","Više od ${line}"
"americanfootball|two-participant-event|team-points-away|A-U","Gost ukupno poena (Manje/više od ${line})","Manje od ${line}"
"americanfootball|two-participant-event|two-way-handicap|H","Hendikep (${line})","1"
"americanfootball|two-participant-event|two-way-handicap|A","Hendikep (${line})","2"
"australianrules|two-participant-event|match-winner|H","Pobjednik","1"
"australianrules|two-participant-event|match-winner|D","Pobjednik","X"
"australianrules|two-participant-event|match-winner|A","Pobjednik","2"
"australianrules|two-participant-event|match-winner-no-draw|H","Pobjednik (Uključujući produžetke)","1"
"australianrules|two-participant-event|match-winner-no-draw|A","Pobjednik (Uključujući produžetke)","2"
"baseball|two-participant-event|asian-handicap-5-innings|H","Prvih 5 ininga hendikep (${line})","1"
"baseball|two-participant-event|asian-handicap-5-innings|A","Prvih 5 ininga hendikep (${line})","2"
"baseball|two-participant-event|asian-handicap-7-innings|H","Prvih 7 ininga hendikep (${line})","1"
"baseball|two-participant-event|asian-handicap-7-innings|A","Prvih 7 ininga hendikep (${line})","2"
"baseball|two-participant-event|total-points-over-under-5-innings|O","Prvih 5 ininga ukupno ranova (Manje/više od ${line})","Više od ${line}"
"baseball|two-participant-event|total-points-over-under-5-innings|U","Prvih 5 ininga ukupno ranova (Manje/više od ${line})","Manje od ${line}"
"baseball|two-participant-event|total-points-over-under-7-innings|O","Prvih 7 ininga ukupno ranova (Manje/više od ${line})","Više od ${line}"
"baseball|two-participant-event|total-points-over-under-7-innings|U","Prvih 7 ininga ukupno ranova (Manje/više od ${line})","Manje od ${line}"
"baseball|two-participant-event|asian-handicap|H","Hendikep (${line})","1"
"baseball|two-participant-event|asian-handicap|A","Hendikep (${line})","2"
"baseball|two-participant-event|match-winner|H","Pobjednik (Uključujući dodatne ininge)","1"
