sportId,eventTemplateId,eventTemplateType,marketTemplateId,marketTemplateType,marketTemplateName,marketTemplateKey,selectionTemplateType,selectionTemplateName,selectionTemplateKeyType,selectionTemplateKeyId,selectionTemplateKeyName,selectionTemplateKey,selectionTemplateKeyRealId,ictKey,ictMarketTemplateName,ictSelectionTemplateName,Result-field1,Result-field2,Translated ictMarketTemplateName,Translated ictSelectionTemplateName,naziv,naziv2,opis,uslov_za_pogodak,naziv_ishoda1,opis_ishoda1,naziv_ishoda2,opis_ishoda2,naziv_ishoda3,opis_ishoda3,naziv_ishoda4,opis_ishoda4,naziv_ishoda5,opis_ishoda5,naziv_ishoda6,opis_ishoda6,naziv_ishoda7,opis_ishoda7,naziv_ishoda8,opis_ishoda8,naziv_ishoda9,opis_ishoda9,naziv_ishoda10,opis_ishoda10,naziv_ishoda11,opis_ishoda11,naziv_ishoda12,opis_ishoda12,naziv_ishoda13,opis_ishoda13,naziv_ishoda14,opis_ishoda14,naziv_ishoda15,opis_ishoda15,naziv_ishoda16,opis_ishoda16,naziv_ishoda17,opis_ishoda17,naziv_ishoda18,opis_ishoda18,naziv_ishoda19,opis_ishoda19,naziv_ishoda20,opis_ishoda20,naziv_ishoda21,opis_ishoda21,naziv_ishoda22,opis_ishoda22,naziv_ishoda23,opis_ishoda23,naziv_ishoda24,opis_ishoda24,naziv_ishoda25,opis_ishoda25,napomena,kladionicarska_podvrsta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
americanfootball,two-participant-event,two-participants-event-template,match-winner,market-template-two-ways-winner,Money Line,"{'bettable': {'type': 'bettable-points'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-two-way-winner'}",base-selection-template,${home},selection-key-home,,,{'type': 'selection-key-home'},H,americanfootball|two-participant-event|match-winner|H,Money Line,${home},2:1,"GDFP=2, GGFP=1",Pobjednik (Uključujući produžetke),1,NP25,Two Way - 1,Pobjednik (uključujući produžetke) - Prvonavedeni tim,GDFP>GGFP,GGFP,Gol/Poeni gosti ukljucujuci produzetke,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,match-winner,market-template-two-ways-winner,Money Line,"{'bettable': {'type': 'bettable-points'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-two-way-winner'}",base-selection-template,${away},selection-key-away,,,{'type': 'selection-key-away'},A,americanfootball|two-participant-event|match-winner|A,Money Line,${away},1:3,"GDFP=1, GGFP=3",Pobjednik (Uključujući produžetke),2,NP26,Two Way - 2,Pobjednik (uključujući produžetke) - Drugonavedeni tim,GDFP<GGFP,GGFP,Gol/Poeni gosti ukljucujuci produzetke,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,total-points-over-under,market-template-two-ways-winner,Total points (over/under ${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-over-under'}",base-selection-template,Over ${line},selection-key-over,O,Over ${line},"{'id': 'O', 'name': 'Over ${line}', 'type': 'selection-key-over'}",O|${line},americanfootball|two-participant-event|total-points-over-under|O,Total points (over/under ${line}),Over ${line},2:0,"GDFP=2, GGFP=0, SV1=${line}",Ukupno poena (Manje/više od ${line}),Više od ${line},NP37,Total Spreads - Vise,Ukupan zbroj poena/golova (uključujući produžetke) veći od zadanog,GDFP+GGFP>SV1,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,total-points-over-under,market-template-two-ways-winner,Total points (over/under ${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-over-under'}",base-selection-template,Under ${line},selection-key-under,U,Under ${line},"{'id': 'U', 'name': 'Under ${line}', 'type': 'selection-key-under'}",U|${line},americanfootball|two-participant-event|total-points-over-under|U,Total points (over/under ${line}),Under ${line},2:1,"GDFP=2, GGFP=1, SV1=${line}",Ukupno poena (Manje/više od ${line}),Manje od ${line},NP36,Total Spreads - Manje,Ukupan zbroj poena/golova (uključujući produžetke) manji od zadanog,GDFP+GGFP<SV1,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,team-points-home,market-template-two-ways-winner,${home} total points (over/under ${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'team': {'type': 'selection-key-home'}, 'timePeriod': {'type': 'time-range-full-time'}, 'type': 'market-key-team-over-under'}",base-selection-template,${home} over ${line},selection-key-over,H-O,${home} and over ${line},"{'id': 'H-O', 'name': '${home} and over ${line}', 'type': 'selection-key-over'}",H-O|${line},americanfootball|two-participant-event|team-points-home|H-O,${home} total points (over/under ${line}),${home} over ${line},5:0,"GDFP=5, SV1=${line}",Domaćin ukupno poena (Manje/više od ${line}),Više od ${line},NP427,Totals home team(including overtime) - Vise,Ukupni broj poena domaćina uključujući produžetke - Više,GDFP>SV1,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,team-points-home,market-template-two-ways-winner,${home} total points (over/under ${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'team': {'type': 'selection-key-home'}, 'timePeriod': {'type': 'time-range-full-time'}, 'type': 'market-key-team-over-under'}",base-selection-template,${home} under ${line},selection-key-under,H-U,${home} and under ${line},${home} and under ${line},H-U|${line},americanfootball|two-participant-event|team-points-home|H-U,${home} total points (over/under ${line}),${home} under ${line},2:4,"GDFP=2, SV1=${line}",Domaćin ukupno poena (Manje/više od ${line}),Manje od ${line},NP1341,Total hometeam including overtime - Manje,Ukupni broj poena domaćina uključujući produžetke - Manje,GDFP<SV1,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,team-points-away,market-template-two-ways-winner,${away} total points (over/under ${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'team': {'type': 'selection-key-away'}, 'timePeriod': {'type': 'time-range-full-time'}, 'type': 'market-key-team-over-under'}",base-selection-template,${away} over ${line},selection-key-over,A-O,${away} and over ${line},"{'id': 'A-O', 'name': '${away} and over ${line}', 'type': 'selection-key-over'}",A-O|${line},americanfootball|two-participant-event|team-points-away|A-O,${away} total points (over/under ${line}),${away} over ${line},0:3,"GGFP=3, SV1=${line}",Gost ukupno poena (Manje/više od ${line}),Više od ${line},NP791,Totals away team - Over,Gost postize veci broj poena od zadanog ukljucujuci produzetke,GGFP>SV1,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,team-points-away,market-template-two-ways-winner,${away} total points (over/under ${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'team': {'type': 'selection-key-away'}, 'timePeriod': {'type': 'time-range-full-time'}, 'type': 'market-key-team-over-under'}",base-selection-template,${away} under ${line},selection-key-under,A-U,${away} and under ${line},"{'id': 'A-U', 'name': '${away} and under ${line}', 'type': 'selection-key-under'}",A-U|${line},americanfootball|two-participant-event|team-points-away|A-U,${away} total points (over/under ${line}),${away} under ${line},0:4,"GGFP=4, SV1=${line}",Gost ukupno poena (Manje/više od ${line}),Manje od ${line},NP1061,Totals away team - Under,Gost postize manji broj poena od zadanog uklucujuci produzetke,GGFP<SV1,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
americanfootball,two-participant-event,two-participants-event-template,two-way-handicap,market-template-two-ways-winner,Spread (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-handicap'}",base-selection-template,${home} ${line},selection-key-home-line,,,{'type': 'selection-key-home-line'},H|${line},americanfootball|two-participant-event|two-way-handicap|H,Spread (${line}),${home} ${line},5:3,"GDFP=5, GGFP=3, SV1=${line}",Hendikep (${line}),1,NP38,Points Spreads - 1,Pobjeda favoriziranog tima s razlikom većom od zadane uključujući i produžetke,GDFP+SV1>GGFP,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
